Date,Time(UT),Lat,Long,Depth,Mag

01/10/06,6:07:01,54.413,-123.453,1.0g,1.9ML
01/11/06,6:07:36,56.524,-122.321,10.0g,1.7MN
01/17/06,4:21:39,54.088,-121.773,1.0g,2.0ML
01/19/06,1:20:59,54.877,-120.98,10.0g,2.2MN
01/26/06,8:16:05,62.05,-123.98,1.0g,2.8MN
02/01/06,23:40:09,56.516,-124.356,10.0g,2.1ML
02/07/06,2:24:46,54.813,-120.857,1.0g,1.9MN
02/16/06,1:06:06,54.834,-120.978,1.0g,2.3ML
02/22/06,0:30:59,54.818,-121.063,10.0g,1.7ML
02/23/06,22:49:31,54.835,-120.994,1.0g,2.2ML
02/28/06,23:10:25,55.086,-121.249,5.0g,2.3MN
03/01/06,6:21:45,56.515,-122.232,10.0g,1.8MN
03/12/06,23:10:49,55.134,-121.144,10.0g,2.2MN
03/13/06,0:36:38,54.928,-120.728,10.0g,2.2MN
03/23/06,1:40:32,55.119,-120.947,1.0g,1.9MN
03/25/06,1:41:15,55.153,-120.859,1.0g,2.1MN
03/25/06,19:19:36,54.977,-120.594,1.0g,2.1MN
04/03/06,0:16:52,56.51,-122.086,5.0g,2.7MN
04/05/06,0:54:50,55.005,-120.57,5.0g,2.1MN
04/14/06,19:34:51,54.875,-120.874,10.0g,1.9MN
04/15/06,13:21:39,56.53,-121.72,1.0g,1.7MN
04/15/06,13:23:35,56.533,-121.878,10.0g,1.8MN
04/21/06,3:07:33,54.984,-120.586,1.0g,2.0MN
04/23/06,15:40:54,61.855,-124.134,1.0g,4.3Mw
04/26/06,0:50:59,54.804,-120.99,10.0g,2.2ML
04/26/06,1:49:56,55.152,-120.941,1.0g,2.0MN
05/15/06,5:35:11,62.302,-124.215,1.0g,2.7MN
07/29/06,10:11:10,62.013,-127.481,1.0g,3.9Mw
08/09/06,6:43:03,55.428,-124.969,1.0g,2.3ML
08/12/06,9:26:33,62.07,-124.088,1.0g,2.5MN
08/14/06,16:53:51,62.016,-124.047,1.0g,2.6MN
08/30/06,6:53:09,62.348,-124.422,10.0g,3.1MN
09/02/06,12:22:49,56.485,-122.198,5.0g,2.8MN
09/10/06,11:01:41,56.566,-122.244,5.0g,3.1MN
09/21/06,22:04:11,55.017,-121.39,10.0g,2.1ML
09/27/06,1:48:01,55.055,-121.148,1.0g,2.0MN
09/27/06,17:40:09,62.148,-123.994,1.0g,3.5MN
