Date,Time(UT),Lat,Long,Depth,Mag

01/09/90,2:04:47,62.141,-124.38,10.0g,3.2MN
01/27/90,14:27:37,60.982,-129.653,5.0g,2.7ML
03/30/90,7:53:58,60.388,-116.631,18.0g,3.5MN
04/24/90,4:32:58,62.048,-124.27,10.0g,3.1MN
04/30/90,3:44:23,62.023,-124.26,10.0g,3.6MN
05/07/90,3:37:35,58.885,-128.103,10.0g,2.0ML
06/05/90,12:27:13,61.991,-124.335,10.0g,3.5MN
06/10/90,5:00:54,62.318,-124.263,10.0g,5.1MB
06/21/90,18:23:20,62.191,-124.348,10.0g,3.2MN
07/25/90,5:58:07,62.207,-124.47,10.0g,3.9MN
08/09/90,6:59:39,58.04,-129.649,5.0g,1.7ML
08/29/90,13:56:21,61.977,-124.207,10.0g,3.7MN
09/01/90,2:31:09,62.011,-124.185,10.0g,3.3ML
