Date,Time(UT),Lat,Long,Depth,Mag

01/06/10,15:22:50,60.473,-129.293,5.0g,2.7ML
01/09/10,22:28:00,56.526,-122.299,15.0g,2.9ML
01/28/10,6:55:59,56.486,-122.334,20.0g,2.6ML
01/29/10,13:50:13,62.097,-124.133,10.0g,3.2ML
01/30/10,0:18:54,55.796,-121.118,5.9*,2.6ML
02/23/10,9:18:59,61.985,-123.755,1.0g,2.9ML
03/04/10,5:39:03,56.941,-121.492,1.0g,2.6ML
03/17/10,6:42:47,59.993,-126.996,10.0g,2.7ML
03/17/10,7:02:51,60.005,-126.985,10.0g,2.8ML
03/20/10,5:11:20,56.929,-121.992,25.0g,2.7ML
03/24/10,13:43:25,61.384,-126.403,1.0g,3.0ML
04/01/10,1:03:57,62.317,-124.623,20.0g,3.1ML
04/12/10,10:24:11,61.845,-124.108,5.0g,2.9ML
04/25/10,14:42:46,60.001,-126.957,5.0g,2.4ML
05/01/10,1:42:51,55.111,-121.339,5.3*,2.5ML
05/02/10,23:20:11,57.577,-125.853,10.0g,2.4ML
06/11/10,22:25:19,59.502,-122.303,15.0g,3.4ML
06/19/10,20:45:29,60.009,-130.148,1.0g,2.2ML
06/29/10,8:18:19,61.063,-124.948,10.0g,2.5ML
06/29/10,15:51:01,60.803,-130.008,5.0g,2.5ML
06/30/10,12:15:23,61.775,-126.01,1.0g,2.7ML
07/12/10,14:21:15,56.138,-122.042,10.0g,2.5ML
07/13/10,16:35:01,56.84,-121.508,1.0g,2.4ML
07/19/10,10:14:20,62.042,-124.195,1.0g,2.6ML
07/28/10,7:15:06,56.276,-128.607,5.0g,2.4ML
08/03/10,20:15:35,59.514,-122.273,10.0g,2.7ML
08/11/10,12:21:02,56.902,-121.58,1.0g,3.0ML
08/22/10,9:30:20,59.531,-122.233,1.0g,2.4ML
08/23/10,20:00:07,54.296,-119.941,10.0g,2.2ML
08/24/10,1:07:24,58.387,-121.104,10.0g,2.5ML
08/24/10,5:34:15,58.426,-121.332,10.0g,2.5ML
09/12/10,10:03:44,58.499,-119.838,10.0g,2.8ML
09/17/10,21:10:07,62.386,-124.559,5.0g,3.3ML
09/17/10,22:35:40,62.348,-124.567,5.0g,2.9ML
09/22/10,12:47:23,62.046,-124.199,20.0g,3.3ML
09/26/10,12:23:55,62.335,-124.538,1.0g,3.6ML
09/29/10,12:27:44,56.633,-122.213,1.0g,4.0Mw
09/30/10,12:31:43,59.602,-122.389,10.0g,2.9ML
09/30/10,12:33:36,59.576,-122.48,20.0g,3.0ML
