Date,Time(UT),Lat,Long,Depth,Mag

01/04/04,10:33:54,61.74,-127.653,1.0g,2.0MN
01/21/04,2:04:04,56.512,-122.268,10.0g,2.4MN
01/31/04,11:45:15,56.456,-122.301,25.0g,2.4MN
02/01/04,3:25:02,56.513,-122.278,10.0g,1.8MN
02/09/04,7:16:57,56.482,-122.167,20.0g,2.0MN
02/10/04,9:03:31,56.495,-122.114,20.0g,2.0MN
02/15/04,8:38:15,58.66,-123.725,1.0g,2.3MN
02/22/04,3:30:53,60.371,-129.705,20.0g,2.4ML
02/22/04,3:33:40,60.368,-129.691,20.0g,2.3ML
02/26/04,4:28:52,56.209,-121.119,1.0g,2.3MN
02/27/04,17:18:28,56.384,-125.726,1.0g,1.9ML
03/07/04,10:07:41,56.427,-120.755,1.0g,2.1MN
03/10/04,1:37:54,62.38,-124.535,1.0g,2.5MN
03/20/04,21:58:36,56.425,-120.631,1.0g,2.5MN
04/06/04,21:20:36,56.497,-122.087,10.0g,1.8MN
04/14/04,1:10:46,62.005,-124.216,1.0g,2.6MN
04/14/04,12:35:28,56.542,-122.117,10.0g,1.8MN
04/16/04,0:01:30,56.554,-122.185,5.0g,2.0MN
04/16/04,0:05:57,56.531,-122.088,10.0g,1.8MN
04/17/04,22:41:53,56.551,-122.011,1.0g,2.1MN
04/19/04,11:31:26,56.561,-121.965,1.0g,1.9MN
05/05/04,18:23:35,56.534,-122.034,1.0g,1.8MN
05/10/04,8:35:11,56.54,-122.061,10.0g,1.6MN
05/21/04,10:47:46,61.464,-123.645,1.0g,2.6MN
05/28/04,15:36:53,61.435,-123.54,5.0g,3.1MN
05/29/04,8:02:07,56.425,-120.695,1.0g,2.7MN
05/31/04,20:54:40,61.413,-123.594,20.0g,2.5MN
06/05/04,7:07:37,61.411,-123.698,1.0g,2.5MN
06/05/04,15:28:35,56.342,-120.719,10.0g,2.6MN
06/14/04,16:36:19,56.268,-120.552,15.0g,2.5MN
07/05/04,12:40:04,59.919,-126.721,20.0g,2.4ML
08/08/04,11:58:02,56.522,-122.255,1.0g,1.8MN
08/10/04,0:15:21,56.511,-121.921,10.0g,2.3MN
08/16/04,8:21:52,61.93,-124.099,1.0g,3.1MN
08/19/04,14:08:26,56.567,-122.286,1.0g,2.7MN
08/25/04,8:23:27,56.56,-122.273,1.0g,2.2MN
08/25/04,20:50:12,56.38,-120.837,1.0g,2.5MN
08/28/04,4:14:55,56.459,-122.051,20.0g,1.9MN
09/03/04,5:01:33,62.026,-124.067,1.0g,4.3MN
09/03/04,11:36:49,62,-124.11,1.0g,2.6MN
09/03/04,14:21:20,62.031,-124.094,1.0g,2.8MN
09/04/04,9:52:35,56.538,-122.148,1.0g,2.1MN
09/12/04,17:03:57,56.516,-122.251,1.0g,2.2MN
09/20/04,16:25:34,56.48,-122.136,14.9*,1.9MN
09/22/04,12:26:41,62.017,-124.069,1.0g,3.5MN
09/24/04,14:29:35,62.022,-124.127,1.0g,2.6MN
09/27/04,14:52:12,56.5,-122.204,10.0g,1.9MN
09/28/04,10:48:20,60.342,-129.975,5.0g,2.3ML
09/28/04,11:13:53,56.545,-122.081,1.0g,2.3MN
